,body,embeddings,replier,start_date,thread_no,int_replier
0, On Sun Jul PM  Mattia Rizzolo write What expect work base .buildinfo file buster Usecases base .buildinfo file upload random peoplenge relevant topic user .buildinfo file binary plan use What tool(s buster allow user download .buildinfo file match package canonical location tool download Debian mirror buildinfo.debian.net If wide adoption .buildinfo desire provide download .buildinfo seamlessly work local repository case .buildinfo leak public place Is sig repos infrastructure expect available buster interact example security update install unattended upgrade Likely answer right OK My point topic start soon not late buster cu Adrian Is promise rain Ling Tan ask suddenly darkness There need rain day Only promise Lao Er say,"[ 0.0358405  -0.0489863  -0.02340721 ... -0.03197146 -0.0195006
  0.00036863]",Chris Lamb,2017-07-24 23:30:53+03:00,0.0,1.0
1, On Sun Jul PM  Mattia Rizzolo write What expect work base .buildinfo file buster Usecases base .buildinfo file upload random peoplenge relevant topic user .buildinfo file binary plan use What tool(s buster allow user download .buildinfo file match package canonical location tool download Debian mirror buildinfo.debian.net If wide adoption .buildinfo desire provide download .buildinfo seamlessly work local repository case .buildinfo leak public place Is sig repos infrastructure expect available buster interact example security update install unattended upgrade Likely answer right OK My point topic start soon not late buster cu Adrian Is promise rain Ling Tan ask suddenly darkness There need rain day Only promise Lao Er say Hi Adrian Mirrors As ,"[ 0.03571672 -0.04736275 -0.02346319 ... -0.02552481 -0.02052212
  0.00722022]",Adrian Bunk,2017-07-24 23:30:53+03:00,0.0,2.0
2, On Sun Jul PM  Mattia Rizzolo write What expect work base .buildinfo file buster Usecases base .buildinfo file upload random peoplenge relevant topic user .buildinfo file binary plan use What tool(s buster allow user download .buildinfo file match package canonical location tool download Debian mirror buildinfo.debian.net If wide adoption .buildinfo desire provide download .buildinfo seamlessly work local repository case .buildinfo leak public place Is sig repos infrastructure expect available buster interact example security update install unattended upgrade Likely answer right OK My point topic start soon not late buster cu Adrian Is promise rain Ling Tan ask suddenly darkness There need rain day Only promise Lao Er say Hi Adrian Mirrors As  On Mon Jul PM  Chris Lamb write How suppose work DSAs Do want claim security update reproducible check want delay DSAs package reproduce architecture Why package user visible issue instead aim give guarantess package main There certain WTF This relatively hard exploit issue appear worrisome user install browser engine security support unfix CVEs cu Adrian Is promise rain Ling Tan ask suddenly darkness There need rain day Only promise Lao Er say,"[ 0.03380246 -0.04779268 -0.02394018 ... -0.02711713 -0.02011451
  0.00934879]",Chris Lamb,2017-07-24 23:30:53+03:00,0.0,1.0
3, Moving devel On   AM Adam D. Barratt write Hi PRON would like fix ,"[ 0.03561683 -0.04890719 -0.02283118 ... -0.02679757 -0.02073223
  0.00711691]",Philipp Kern,2017-07-10 10:30:40+05:30,1.0,4.0
4, Moving devel On   AM Adam D. Barratt write Hi PRON would like fix  On   AM Pirate Praveen write Not sure release matt It need fix unstable Similarly I inaction bug disagreement What link different The fix feel fairly straightforward give have consensual revert apply upstream I think suitable stable PRON would suggest hash potential disagreement[ private mail maintainer project wide mail list cc'ing Kind regard Philipp Kern PRON be sure,"[ 0.03301834 -0.0504004  -0.02307475 ... -0.02671313 -0.02015229
  0.00764935]",Pirate Praveen,2017-07-10 10:30:40+05:30,1.0,3.0
5, Moving devel On   AM Adam D. Barratt write Hi PRON would like fix  On   AM Pirate Praveen write Not sure release matt It need fix unstable Similarly I inaction bug disagreement What link different The fix feel fairly straightforward give have consensual revert apply upstream I think suitable stable PRON would suggest hash potential disagreement[ private mail maintainer project wide mail list cc'ing Kind regard Philipp Kern PRON be sure On   PM Philipp Kern write Because I want input developer proceed single bug inflate severity maintainer agree severity Inaction mean severity accept I understand If RC bug fix soon accept patch fix Well I try BTS read I post IRC channel receive response I try join alioth team accept I think I reasonable effort reach directly,"[ 0.03127065 -0.0548249  -0.02436496 ... -0.03346186 -0.02044641
  0.00369371]",Philipp Kern,2017-07-10 10:30:40+05:30,1.0,4.0
6, On Tue   Afif Elghraoui write Given Python package argue package relationship Setuptools metadata provide install_requires extras_require map Depends Suggests Period Your typical Python project README instruct user install Python package  pip install  If run  pip install networkx  graphic dependency pull That justify dependency Recommends FYI I similar problem sympy pull insane package chain Recommends,"[ 0.03281816 -0.04747972 -0.02288572 ... -0.02539052 -0.02069918
  0.00760722]",Jonas Smedegaard,2017-06-06 09:13:55+01:00,2.0,6.0
7, On Tue   Afif Elghraoui write Given Python package argue package relationship Setuptools metadata provide install_requires extras_require map Depends Suggests Period Your typical Python project README instruct user install Python package  pip install  If run  pip install networkx  graphic dependency pull That justify dependency Recommends FYI I similar problem sympy pull insane package chain Recommends Quoting Ghislain Vaillant  We certainly continue align package relation Debian Policy extension continue argue necessary evolve Debian Policy Upstream package relation hint valuable aid resolve Debian package relation An aid Debian package follow Debian Policy hint Jonas Jonas Smedegaard idealist Internet arkitekt Tlf  Website ,"[ 0.0324127  -0.04951782 -0.02423733 ... -0.02643531 -0.02114045
  0.00508294]",Afif Elghraoui,2017-06-06 09:13:55+01:00,2.0,7.0
8, On Tue   Afif Elghraoui write Given Python package argue package relationship Setuptools metadata provide install_requires extras_require map Depends Suggests Period Your typical Python project README instruct user install Python package  pip install  If run  pip install networkx  graphic dependency pull That justify dependency Recommends FYI I similar problem sympy pull insane package chain Recommends Quoting Ghislain Vaillant  We certainly continue align package relation Debian Policy extension continue argue necessary evolve Debian Policy Upstream package relation hint valuable aid resolve Debian package relation An aid Debian package follow Debian Policy hint Jonas Jonas Smedegaard idealist Internet arkitekt Tlf  Website  على الثلاثاء حزيران ‫، كتب Jonas Smedegaard Both good point upstream well position decide strong absolute dependency Recommends software What Ghislain say Python package make lot sense regard Afif Afif Elghraoui  عفيف الغراوي,"[ 0.03609572 -0.04953315 -0.02273726 ... -0.02615092 -0.02090792
  0.00861685]",Jonas Smedegaard,2017-06-06 09:13:55+01:00,2.0,6.0
9, Hi Debian developer This e mail mean maintainer application use database interest package handle In bug I start discussion inclusion well practice package database application Debian policy These practice write Sean Finney year ago discussion start list link documentation These well practice dbconfig common package available debian.org doc² year After consult audience talk Debconf I think practice alter form require discussion Debian policy In bug say I ask second proposal database application maintainer I seek Please follow policy bug¹ reply set For ease reader text give Paul ,"[ 0.03509703 -0.05019497 -0.02377053 ... -0.02644871 -0.01996711
  0.00530108]",Marc Haber,2017-06-25 16:05:09+02:00,3.0,9.0
